Year,Catch
1955,101.4104046
1956,392.9653179
1957,877.2
1958,1095.23237
1959,1561.720231
1960,3034.706358
1961,4411.352601
1962,5247.988439
1963,4507.692486
1964,4000.640462
1965,2963.719075
1966,3290.76763
1967,3260.344509
1968,4677.554913
1969,6611.958382
1970,7080.981503
1971,6061.806936
1972,7212.815029
1973,6672.804624
1974,7800.995376
1975,5643.489017
1976,5874.197688
1977,7015.06474
1978,7889.72948
1979,8926.650867
1980,6779.285549
1981,7468.876301
1982,7423.241618
1983,4233.884393
1984,7111.404624
1985,6064.342197
1986,4315.012717
1987,5564.895954
